,annotation_id,policy_id,segment_id,data_practice,label,selected_text,content_json,start,end
0,C2722,3827,0,Other,0,Privacy Policy,"{""Other Type"": {""endIndexInSegment"": 14, ""startIndexInSegment"": 0, ""selectedText"": ""Privacy Policy"", ""value"": ""Other""}}",0,14
1,C2723,3827,1,First Party Collection/Use,0,automatically,"{""Collection Mode"": {""endIndexInSegment"": 61, ""startIndexInSegment"": 48, ""selectedText"": ""automatically"", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 47, ""startIndexInSegment"": 9, ""selectedText"": ""visitor to our Web site, or Web server"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 147, ""startIndexInSegment"": 78, ""selectedText"": ""the consumer's domain name, operating system, and web browser version"", ""value"": ""Computer information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 175, ""startIndexInSegment"": 1, ""selectedText"": ""or each visitor to our Web site, or Web server automatically recognizes only the consumer's domain name, operating system, and web browser version but not the e-mail address."", ""value"": ""Unspecified""}}",48,61
2,C2723,3827,1,First Party Collection/Use,0,"visitor to our Web site, or Web server","{""Collection Mode"": {""endIndexInSegment"": 61, ""startIndexInSegment"": 48, ""selectedText"": ""automatically"", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 47, ""startIndexInSegment"": 9, ""selectedText"": ""visitor to our Web site, or Web server"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 147, ""startIndexInSegment"": 78, ""selectedText"": ""the consumer's domain name, operating system, and web browser version"", ""value"": ""Computer information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 175, ""startIndexInSegment"": 1, ""selectedText"": ""or each visitor to our Web site, or Web server automatically recognizes only the consumer's domain name, operating system, and web browser version but not the e-mail address."", ""value"": ""Unspecified""}}",9,47
3,C2724,3827,1,First Party Collection/Use,0,automatically,"{""Collection Mode"": {""endIndexInSegment"": 61, ""startIndexInSegment"": 48, ""selectedText"": ""automatically"", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 47, ""startIndexInSegment"": 9, ""selectedText"": ""visitor to our Web site, or Web server"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 174, ""startIndexInSegment"": 160, ""selectedText"": ""e-mail address"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": 159, ""startIndexInSegment"": 148, ""selectedText"": ""but not the"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 175, ""startIndexInSegment"": 1, ""selectedText"": ""or each visitor to our Web site, or Web server automatically recognizes only the consumer's domain name, operating system, and web browser version but not the e-mail address."", ""value"": ""Unspecified""}}",48,61
4,C2724,3827,1,First Party Collection/Use,0,"visitor to our Web site, or Web server","{""Collection Mode"": {""endIndexInSegment"": 61, ""startIndexInSegment"": 48, ""selectedText"": ""automatically"", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 47, ""startIndexInSegment"": 9, ""selectedText"": ""visitor to our Web site, or Web server"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 174, ""startIndexInSegment"": 160, ""selectedText"": ""e-mail address"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": 159, ""startIndexInSegment"": 148, ""selectedText"": ""but not the"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 175, ""startIndexInSegment"": 1, ""selectedText"": ""or each visitor to our Web site, or Web server automatically recognizes only the consumer's domain name, operating system, and web browser version but not the e-mail address."", ""value"": ""Unspecified""}}",9,47
5,C2724,3827,1,First Party Collection/Use,0,but not the,"{""Collection Mode"": {""endIndexInSegment"": 61, ""startIndexInSegment"": 48, ""selectedText"": ""automatically"", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 47, ""startIndexInSegment"": 9, ""selectedText"": ""visitor to our Web site, or Web server"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 174, ""startIndexInSegment"": 160, ""selectedText"": ""e-mail address"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": 159, ""startIndexInSegment"": 148, ""selectedText"": ""but not the"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 175, ""startIndexInSegment"": 1, ""selectedText"": ""or each visitor to our Web site, or Web server automatically recognizes only the consumer's domain name, operating system, and web browser version but not the e-mail address."", ""value"": ""Unspecified""}}",148,159
6,C2725,3827,1,First Party Collection/Use,0,when you visit a Web site.,"{""Collection Mode"": {""endIndexInSegment"": 252, ""startIndexInSegment"": 226, ""selectedText"": ""when you visit a Web site."", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 225, ""startIndexInSegment"": 184, ""selectedText"": ""are generated and placed on your computer"", ""value"": ""Other""}, ""Personal Information Type"": {""endIndexInSegment"": 183, ""startIndexInSegment"": 176, ""selectedText"": ""Cookies"", ""value"": ""Cookies and tracking elements""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 312, ""startIndexInSegment"": 253, ""selectedText"": ""They make your return visits to a Web site more convenient."", ""value"": ""Additional service/feature""}}",226,252
7,C2725,3827,1,First Party Collection/Use,0,are generated and placed on your computer,"{""Collection Mode"": {""endIndexInSegment"": 252, ""startIndexInSegment"": 226, ""selectedText"": ""when you visit a Web site."", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 225, ""startIndexInSegment"": 184, ""selectedText"": ""are generated and placed on your computer"", ""value"": ""Other""}, ""Personal Information Type"": {""endIndexInSegment"": 183, ""startIndexInSegment"": 176, ""selectedText"": ""Cookies"", ""value"": ""Cookies and tracking elements""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 312, ""startIndexInSegment"": 253, ""selectedText"": ""They make your return visits to a Web site more convenient."", ""value"": ""Additional service/feature""}}",184,225
8,C2726,3827,1,First Party Collection/Use,0,use cookies to collect,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 345, ""startIndexInSegment"": 323, ""selectedText"": ""use cookies to collect"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 366, ""startIndexInSegment"": 346, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": 322, ""startIndexInSegment"": 313, ""selectedText"": ""We do not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 484, ""startIndexInSegment"": 437, ""selectedText"": ""for purposes that are unrelated to the Web site"", ""value"": ""Other""}}",323,345
9,C2726,3827,1,First Party Collection/Use,0,We do not,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 345, ""startIndexInSegment"": 323, ""selectedText"": ""use cookies to collect"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 366, ""startIndexInSegment"": 346, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": 322, ""startIndexInSegment"": 313, ""selectedText"": ""We do not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 484, ""startIndexInSegment"": 437, ""selectedText"": ""for purposes that are unrelated to the Web site"", ""value"": ""Other""}}",313,322
10,13157,3827,1,First Party Collection/Use,0,visitor to our Web site,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 32, ""startIndexInSegment"": 9, ""selectedText"": ""visitor to our Web site"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 147, ""startIndexInSegment"": 93, ""selectedText"": ""domain name, operating system, and web browser version"", ""value"": ""Computer information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 311, ""startIndexInSegment"": 258, ""selectedText"": ""make your return visits to a Web site more convenient"", ""value"": ""Unspecified""}}",9,32
11,11712,3827,1,First Party Collection/Use,0,use cookies to collect,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 345, ""startIndexInSegment"": 323, ""selectedText"": ""use cookies to collect"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 523, ""startIndexInSegment"": 485, ""selectedText"": ""or your interaction with the Web site."", ""value"": ""User online activities""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": 322, ""startIndexInSegment"": 313, ""selectedText"": ""We do not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 484, ""startIndexInSegment"": 437, ""selectedText"": ""for purposes that are unrelated to the Web site"", ""value"": ""Other""}}",323,345
12,11712,3827,1,First Party Collection/Use,0,We do not,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 345, ""startIndexInSegment"": 323, ""selectedText"": ""use cookies to collect"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 523, ""startIndexInSegment"": 485, ""selectedText"": ""or your interaction with the Web site."", ""value"": ""User online activities""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": 322, ""startIndexInSegment"": 313, ""selectedText"": ""We do not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 484, ""startIndexInSegment"": 437, ""selectedText"": ""for purposes that are unrelated to the Web site"", ""value"": ""Other""}}",313,322
13,11988,3827,1,First Party Collection/Use,0,use cookies,"{""Collection Mode"": {""endIndexInSegment"": 393, ""startIndexInSegment"": 382, ""selectedText"": ""use cookies"", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 417, ""startIndexInSegment"": 406, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 381, ""startIndexInSegment"": 375, ""selectedText"": ""do not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 523, ""startIndexInSegment"": 437, ""selectedText"": ""for purposes that are unrelated to the Web site or your interaction with the Web site."", ""value"": ""Other""}}",382,393
14,11988,3827,1,First Party Collection/Use,0,do not,"{""Collection Mode"": {""endIndexInSegment"": 393, ""startIndexInSegment"": 382, ""selectedText"": ""use cookies"", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 417, ""startIndexInSegment"": 406, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 381, ""startIndexInSegment"": 375, ""selectedText"": ""do not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 523, ""startIndexInSegment"": 437, ""selectedText"": ""for purposes that are unrelated to the Web site or your interaction with the Web site."", ""value"": ""Other""}}",375,381
15,C2727,3827,2,Other,0,"Disclaimer The information provided is ""as is"" with all faults and without warranty of any kind, expressed or implied. National Chicken Council (NCC) makes no warranties or representations regarding the accuracy or completeness of the information contained herein.","{""Other Type"": {""endIndexInSegment"": 293, ""startIndexInSegment"": 9, ""selectedText"": ""Disclaimer The information provided is \""as is\"" with all faults and without warranty of any kind, expressed or implied. National Chicken Council (NCC) makes no warranties or representations regarding the accuracy or completeness of the information contained herein."", ""value"": ""Other""}}",9,293
16,C2728,3827,3,Other,0,"NCC has provided links to other Internet sites only for the convenience of World-Wide Web users, and is not responsible for the materials, activities or content of other sites. NCC does not endorse, warrant or guarantee any products or services described or offered at these companies, addresses, or Web sites.","{""Other Type"": {""endIndexInSegment"": 310, ""startIndexInSegment"": 0, ""selectedText"": ""NCC has provided links to other Internet sites only for the convenience of World-Wide Web users, and is not responsible for the materials, activities or content of other sites. NCC does not endorse, warrant or guarantee any products or services described or offered at these companies, addresses, or Web sites."", ""value"": ""Other""}}",0,310
